date,equity,cash,position_value,open_positions,gross_exposure
2025-03-16,107273.34527947853,43436.9468847636,63836.398394714925,3,0.5950816414683665
2025-03-17,106929.49613127412,43436.9468847636,63492.54924651052,3,0.5937795607730408
2025-03-18,107821.02861178874,43436.9468847636,64384.08172702514,3,0.5971384483711523
2025-03-19,107334.05632782714,43436.9468847636,63897.10944306354,3,0.595310674255192
2025-03-20,110066.94842688943,67466.3241601093,42600.62426678013,2,0.38704283961390146
2025-03-23,110288.84506856636,67466.3241601093,42822.52090845705,2,0.38827608432960176
2025-03-24,110556.86473307351,67466.3241601093,43090.54057296421,2,0.38975906812300826
2025-03-25,110887.41519957059,67466.3241601093,43421.091039461295,2,0.3915781692747893
2025-03-26,111261.73726750512,67466.3241601093,43795.41310739581,2,0.39362510583579224
2025-03-27,110824.5916041868,67466.3241601093,43358.2674440775,2,0.3912332706709427
2025-04-03,110898.02450860747,88829.43117027738,22068.593338330083,1,0.1989989761866065
2025-04-06,109976.04692828993,88829.43117027738,21146.615758012536,1,0.19228383224031706
2025-04-07,109858.34905657811,88829.43117027738,21028.91788630073,1,0.19141847721988461
2025-04-08,110348.76340652234,88829.43117027738,21519.332236244958,1,0.19501199263074862
2025-04-09,109815.56148657628,109815.56148657628,0.0,0,0.0
2025-04-10,109815.56148657628,109815.56148657628,0.0,0,0.0
2025-04-13,109815.56148657628,109815.56148657628,0.0,0,0.0
2025-04-14,109815.56148657628,109815.56148657628,0.0,0,0.0
2025-04-15,109815.56148657628,109815.56148657628,0.0,0,0.0
2025-04-16,109760.65370583298,87852.44918926102,21908.20451657197,1,0.19959979989995
2025-04-17,110070.72305914114,87852.44918926102,22218.273869880104,1,0.20185452818314092
2025-04-22,110725.93460011961,87852.44918926102,22873.485410858586,1,0.20657748786194374
2025-04-23,111067.42884498637,65627.85112122973,45439.57772375664,2,0.4091170399485466
2025-04-27,114813.5093939113,91896.75589307558,22916.753500835723,1,0.19959979989994997
2025-04-28,114634.2821901206,91896.75589307558,22737.526297045024,1,0.19834839859977407
2025-04-29,114430.39600989858,68999.22792711288,45431.168082785705,2,0.3970201071300651
2025-04-30,115561.24405326153,22740.038805889657,92821.20524737186,4,0.803220889562171
2025-05-04,115507.74731911215,22740.038805889657,92767.70851322249,4,0.8031297524739534
